"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","Afghanistan","33.93911","67.709953","38494","38520","38544","38572","38606","38641","38716","38772","38772","33.93911,67.709953"
"-","Albania","41.1533","20.1683","10406","10553","10704","10860","11021","11185","11353","11520","11520","41.1533,20.1683"
"-","Algeria","28.0339","1.6596","46653","46938","47216","47488","47752","48007","48254","48496","48496","28.0339,1.6596"
"-","Andorra","42.5063","1.5218","1261","1261","1301","1301","1344","1344","1344","1438","1438","42.5063,1.5218"
"-","Angola","-11.2027","17.8739","2981","3033","3092","3217","3279","3335","3388","3439","3439","-11.2027,17.8739"
"-","Antigua and Barbuda","17.0608","-61.7964","95","95","95","95","95","95","95","95","95","17.0608,-61.7964"
"-","Argentina","-38.4161","-63.6167","488007","500034","512293","524198","535705","546481","555537","565446","565446","-38.4161,-63.6167"
"-","Armenia","40.0691","45.0382","44845","44953","45152","45326","45503","45675","45862","45969","45969","40.0691,45.0382"
"-","Australia","-35.4735","149.0124","113","113","113","113","113","113","113","113","113","-35.4735,149.0124"
"-","Australia","-33.8688","151.2093","4126","4135","4142","4152","4157","4166","4170","4177","4177","-33.8688,151.2093"
"-","Australia","-12.4634","130.8456","33","33","33","33","33","33","33","33","33","-12.4634,130.8456"
"-","Australia","-27.4698","153.0251","1134","1143","1143","1145","1149","1149","1149","1150","1150","-27.4698,153.0251"
"-","Australia","-34.9285","138.6007","464","465","465","465","466","466","466","466","466","-34.9285,138.6007"
"-","Australia","-42.8821","147.3272","230","230","230","230","230","230","230","230","230","-42.8821,147.3272"
"-","Australia","-37.8136","144.9631","19615","19688","19739","19767","19800","19835","19872","19911","19911","-37.8136,144.9631"
"-","Australia","-31.9505","115.8605","658","658","659","659","659","659","659","659","659","-31.9505,115.8605"
"-","Austria","47.5162","14.5501","29561","30081","30583","31247","31827","32696","33159","33541","33541","47.5162,14.5501"
"-","Azerbaijan","40.1431","47.5769","37418","37557","37732","37874","38037","38172","38327","38403","38403","40.1431,47.5769"
"-","Bahamas","25.025885","-78.035889","2546","2585","2721","2721","2814","2928","2928","3008","3008","25.025885,-78.035889"
"-","Bahrain","26.0275","50.55","56076","56778","57450","58207","58839","59586","60307","60965","60965","26.0275,50.55"
"-","Bangladesh","23.685","90.3563","327359","329251","331078","332970","334762","336044","337520","339332","339332","23.685,90.3563"
"-","Barbados","13.1939","-59.5432","179","180","180","180","180","180","181","183","183","13.1939,-59.5432"
"-","Belarus","53.7098","27.9534","73031","73208","73402","73591","73784","73975","74173","74360","74360","53.7098,27.9534"
"-","Belgium","50.8333","4.469936","88769","89141","89691","90568","91537","92478","93455","94306","94306","50.8333,4.469936"
"-","Belize","17.1899","-88.4976","1307","1361","1365","1365","1435","1458","1480","1501","1501","17.1899,-88.4976"
"-","Benin","9.3077","2.3158","2213","2213","2242","2242","2242","2242","2267","2267","2267","9.3077,2.3158"
"-","Bhutan","27.5142","90.4336","233","234","234","238","241","244","245","245","245","27.5142,90.4336"
"-","Bolivia","-16.2902","-63.5887","121604","122308","123345","124205","125172","125982","126791","127619","127619","-16.2902,-63.5887"
"-","Bosnia and Herzegovina","43.9159","17.6791","21660","21961","22258","22544","22834","23138","23465","23635","23635","43.9159,17.6791"
"-","Botswana","-22.3285","24.6849","2126","2126","2126","2252","2252","2252","2252","2463","2463","-22.3285,24.6849"
"-","Brazil","-14.235","-51.9253","4147794","4162073","4197889","4238446","4282164","4315687","4330455","4345610","4345610","-14.235,-51.9253"
"-","Brunei","4.5353","114.7277","145","145","145","145","145","145","145","145","145","4.5353,114.7277"
"-","Bulgaria","42.7339","25.4858","17146","17313","17435","17598","17799","17891","17918","18061","18061","42.7339,25.4858"
"-","Burkina Faso","12.2383","-1.5616","1463","1466","1476","1486","1499","1514","1707","1717","1717","12.2383,-1.5616"
"-","Burma","21.9162","95.956","1518","1807","2009","2150","2422","2796","3015","3195","3195","21.9162,95.956"
"-","Burundi","-3.3731","29.9189","466","466","466","469","469","471","472","472","472","-3.3731,29.9189"
"-","Cabo Verde","16.5388","-23.0418","4358","4400","4473","4557","4651","4711","4813","4839","4839","16.5388,-23.0418"
"-","Cambodia","11.55","104.9167","274","274","274","274","274","275","275","275","275","11.55,104.9167"
"-","Cameroon","3.848","11.5021","19604","19848","19848","20009","20009","20009","20167","20228","20228","3.848,11.5021"
"-","Canada","53.9333","-116.5765","14474","15093","15093","15304","15415","15415","15415","15833","15833","53.9333,-116.5765"
"-","Canada","53.7267","-127.6476","6162","6591","6591","6830","6962","6962","6962","7279","7279","53.7267,-127.6476"
"-","Canada","0","0","0","0","0","0","0","0","0","0","0","0,0"
"-","Canada","0","0","13","13","13","13","13","13","13","13","13","0,0"
"-","Canada","53.7609","-98.8139","1338","1349","1365","1378","1393","1410","1428","1449","1449","53.7609,-98.8139"
"-","Canada","46.5653","-66.4619","192","192","192","193","193","193","193","194","194","46.5653,-66.4619"
"-","Canada","53.1355","-57.6604","270","270","270","270","270","271","271","271","271","53.1355,-57.6604"
"-","Canada","64.8255","-124.8457","5","5","5","5","5","5","5","5","5","64.8255,-124.8457"
"-","Canada","44.682","-63.7443","1086","1086","1086","1086","1086","1086","1086","1086","1086","44.682,-63.7443"
"-","Canada","51.2538","-85.3232","45314","45545","45724","45887","46118","46323","46485","46905","46905","51.2538,-85.3232"
"-","Canada","46.5107","-63.4168","51","53","55","55","55","55","55","55","55","46.5107,-63.4168"
"-","Canada","52.9399","-73.5491","63713","63876","64056","64244","64463","64707","64986","65262","65262","52.9399,-73.5491"
"-","Canada","52.9399","-106.4509","1662","1669","1670","1676","1688","1709","1726","1731","1731","52.9399,-106.4509"
"-","Canada","64.2823","-135","15","15","15","15","15","15","15","15","15","64.2823,-135"
"-","Central African Republic","6.6111","20.9394","4729","4735","4736","4747","4749","4749","4749","4772","4772","6.6111,20.9394"
"-","Chad","15.4542","18.7322","1040","1045","1048","1051","1081","1083","1084","1085","1085","15.4542,18.7322"
"-","Chile","-35.6751","-71.543","424274","425541","427027","428669","430535","432666","434748","436433","436433","-35.6751,-71.543"
"-","China","31.8257","117.2264","991","991","991","991","991","991","991","991","991","31.8257,117.2264"
"-","China","40.1824","116.4142","935","935","935","935","935","935","935","935","935","40.1824,116.4142"
"-","China","30.0572","107.874","584","584","584","584","584","584","584","584","584","30.0572,107.874"
"-","China","26.0789","117.9874","387","387","387","387","388","388","390","390","390","26.0789,117.9874"
"-","China","35.7518","104.2861","170","170","170","170","170","170","170","170","170","35.7518,104.2861"
"-","China","23.3417","113.4244","1769","1769","1770","1774","1776","1777","1778","1782","1782","23.3417,113.4244"
"-","China","23.8298","108.7881","257","257","257","257","257","258","258","258","258","23.8298,108.7881"
"-","China","26.8154","106.8748","147","147","147","147","147","147","147","147","147","26.8154,106.8748"
"-","China","19.1959","109.7453","171","171","171","171","171","171","171","171","171","19.1959,109.7453"
"-","China","39.549","116.1306","365","365","365","365","365","365","365","365","365","39.549,116.1306"
"-","China","47.862","127.7615","948","948","948","948","948","948","948","948","948","47.862,127.7615"
"-","China","37.8957","114.9042","1276","1276","1276","1276","1276","1277","1277","1277","1277","37.8957,114.9042"
"-","China","22.3","114.2","4889","4895","4901","4913","4925","4938","4957","4971","4971","22.3,114.2"
"-","China","30.9756","112.2707","68139","68139","68139","68139","68139","68139","68139","68139","68139","30.9756,112.2707"
"-","China","27.6104","111.7088","1019","1019","1019","1019","1019","1019","1019","1019","1019","27.6104,111.7088"
"-","China","44.0935","113.9448","261","261","261","261","261","261","261","261","261","44.0935,113.9448"
"-","China","32.9711","119.455","665","665","665","665","665","665","665","665","665","32.9711,119.455"
"-","China","27.614","115.7221","935","935","935","935","935","935","935","935","935","27.614,115.7221"
"-","China","43.6661","126.1923","157","157","157","157","157","157","157","157","157","43.6661,126.1923"
"-","China","41.2956","122.6085","263","263","263","264","264","264","264","264","264","41.2956,122.6085"
"-","China","22.1667","113.55","46","46","46","46","46","46","46","46","46","22.1667,113.55"
"-","China","37.2692","106.1655","75","75","75","75","75","75","75","75","75","37.2692,106.1655"
"-","China","35.7452","95.9956","18","18","18","18","18","18","18","18","18","35.7452,95.9956"
"-","China","35.1917","108.8701","377","378","378","379","380","381","381","381","381","35.1917,108.8701"
"-","China","36.3427","118.1498","831","831","831","831","831","831","831","831","831","36.3427,118.1498"
"-","China","31.202","121.4491","922","923","929","937","939","942","947","948","948","31.202,121.4491"
"-","China","37.5777","112.2922","203","203","203","203","203","203","203","203","203","37.5777,112.2922"
"-","China","30.6171","102.7103","663","664","664","665","665","665","665","666","666","30.6171,102.7103"
"-","China","39.3054","117.323","233","233","233","233","233","234","234","234","234","39.3054,117.323"
"-","China","31.6927","88.0924","1","1","1","1","1","1","1","1","1","31.6927,88.0924"
"-","China","41.1129","85.2401","902","902","902","902","902","902","902","902","902","41.1129,85.2401"
"-","China","24.974","101.487","201","201","201","201","201","201","203","204","204","24.974,101.487"
"-","China","29.1832","120.0934","1278","1278","1278","1278","1278","1280","1280","1281","1281","29.1832,120.0934"
"-","Colombia","4.5709","-74.2973","671848","671533","686851","694664","702088","708964","716319","721892","721892","4.5709,-74.2973"
"-","Comoros","-11.6455","43.3333","452","456","456","456","456","456","456","457","457","-11.6455,43.3333"
"-","Congo (Brazzaville)","-0.228","15.8277","4891","4891","4891","4891","4928","4928","4928","4934","4934","-0.228,15.8277"
"-","Congo (Kinshasa)","-4.0383","21.7587","10233","10292","10324","10343","10361","10385","10390","10390","10390","-4.0383,21.7587"
"-","Costa Rica","9.7489","-83.7534","48780","49897","51224","52549","53969","55454","55454","57361","57361","9.7489,-83.7534"
"-","Cote d'Ivoire","7.54","-5.5471","18701","18778","18815","18869","18916","18916","19013","19066","19066","7.54,-5.5471"
"-","Croatia","45.1","15.2","12081","12285","12626","12917","13107","13368","13533","13598","13598","45.1,15.2"
"-","Cuba","21.521757","-77.781167","4352","4377","4459","4551","4593","4653","4684","4726","4726","21.521757,-77.781167"
"-","Cyprus","35.1264","33.4299","1510","1511","1514","1517","1520","1523","1526","1534","1534","35.1264,33.4299"
"-","Czechia","49.8175","15.473","28716","29877","31036","32413","33860","35401","36188","37222","37222","49.8175,15.473"
"-","Denmark","61.8926","-6.9118","413","414","415","415","416","418","423","423","423","61.8926,-6.9118"
"-","Denmark","71.7069","-42.6043","14","14","14","14","14","14","14","14","14","71.7069,-42.6043"
"-","Denmark","56.2639","9.5018","18113","18356","18607","18924","19216","19557","19890","20237","20237","56.2639,9.5018"
"-","Diamond Princess","0","0","712","712","712","712","712","712","712","712","712","0,0"
"-","Djibouti","11.8251","42.5903","5388","5388","5391","5394","5394","5394","5395","5396","5396","11.8251,42.5903"
"-","Dominica","15.415","-61.371","22","22","22","24","24","24","24","24","24","15.415,-61.371"
"-","Dominican Republic","18.7357","-70.1627","99898","100131","100937","101716","102232","103092","103660","104110","104110","18.7357,-70.1627"
"-","Ecuador","-1.8312","-78.1834","110092","110757","112166","113206","114732","116451","118594","118911","118911","-1.8312,-78.1834"
"-","Egypt","26.820553","30.802498","100041","100228","100403","100557","100708","100856","101009","101177","101177","26.820553,30.802498"
"-","El Salvador","13.7942","-88.8965","26413","26511","26602","26688","26773","26851","26928","27009","27009","13.7942,-88.8965"
"-","Equatorial Guinea","1.6508","10.2679","4985","4985","4990","4990","4996","4996","4996","5000","5000","1.6508,10.2679"
"-","Eritrea","15.1794","39.7823","330","341","341","361","361","361","361","361","361","15.1794,39.7823"
"-","Estonia","58.5953","25.0136","2532","2564","2585","2600","2632","2655","2676","2698","2698","58.5953,25.0136"
"-","Eswatini","-26.5225","31.4659","4884","4904","4936","4994","5025","5050","5075","5104","5104","-26.5225,31.4659"
"-","Ethiopia","9.145","40.4897","59648","60784","61700","62578","63367","63888","64301","64786","64786","9.145,40.4897"
"-","Fiji","-17.7134","178.065","31","31","32","32","32","32","32","32","32","-17.7134,178.065"
"-","Finland","61.92411","25.748151","8327","8337","8430","8469","8512","8557","8580","8627","8627","61.92411,25.748151"
"-","France","3.9339","-53.1258","9355","9387","9418","9462","9494","9521","9521","9552","9552","3.9339,-53.1258"
"-","France","-17.6797","149.4068","773","773","795","857","953","953","953","1099","1099","-17.6797,149.4068"
"-","France","16.265","-61.551","1363","1363","2287","2287","2287","3080","3080","3080","3080","16.265,-61.551"
"-","France","14.6415","-61.0242","758","939","939","939","939","939","939","939","939","14.6415,-61.0242"
"-","France","-12.8275","45.166244","3374","3374","3374","3374","3374","3374","3374","3374","3374","-12.8275,45.166244"
"-","France","-20.904305","165.618042","26","26","26","26","26","26","26","26","26","-20.904305,165.618042"
"-","France","-21.1151","55.5364","2277","2346","2416","2510","2623","2723","2805","2872","2872","-21.1151,55.5364"
"-","France","17.9","-62.8333","18","18","21","21","21","21","21","23","23","17.9,-62.8333"
"-","France","46.8852","-56.3159","9","9","9","10","10","11","11","11","11","46.8852,-56.3159"
"-","France","18.0708","-63.0501","239","239","256","256","256","256","256","330","330","18.0708,-63.0501"
"-","France","46.2276","2.2137","348982","355244","363751","372501","381907","381907","381907","404564","404564","46.2276,2.2137"
"-","Gabon","-0.8037","11.6094","8608","8608","8621","8621","8643","8643","8643","8654","8654","-0.8037,11.6094"
