"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","Afghanistan","33.93911","67.709953","1415","1418","1420","1420","1420","1420","1420","1425","1425","33.93911,67.709953"
"-","Albania","41.1533","20.1683","319","321","322","324","327","330","334","338","338","41.1533,20.1683"
"-","Algeria","28.0339","1.6596","1562","1571","1581","1591","1599","1605","1612","1620","1620","28.0339,1.6596"
"-","Andorra","42.5063","1.5218","53","53","53","53","53","53","53","53","53","42.5063,1.5218"
"-","Angola","-11.2027","17.8739","120","124","126","130","131","132","134","136","136","-11.2027,17.8739"
"-","Antigua and Barbuda","17.0608","-61.7964","3","3","3","3","3","3","3","3","3","17.0608,-61.7964"
"-","Argentina","-38.4161","-63.6167","10129","10405","10658","10907","11148","11263","11352","11667","11667","-38.4161,-63.6167"
"-","Armenia","40.0691","45.0382","900","903","905","906","909","911","916","919","919","40.0691,45.0382"
"-","Australia","-35.4735","149.0124","3","3","3","3","3","3","3","3","3","-35.4735,149.0124"
"-","Australia","-33.8688","151.2093","52","52","52","52","52","52","52","52","52","-33.8688,151.2093"
"-","Australia","-12.4634","130.8456","0","0","0","0","0","0","0","0","0","-12.4634,130.8456"
"-","Australia","-27.4698","153.0251","6","6","6","6","6","6","6","6","6","-27.4698,153.0251"
"-","Australia","-34.9285","138.6007","4","4","4","4","4","4","4","4","4","-34.9285,138.6007"
"-","Australia","-42.8821","147.3272","13","13","13","13","13","13","13","13","13","-42.8821,147.3272"
"-","Australia","-37.8136","144.9631","683","694","701","710","716","723","729","729","729","-37.8136,144.9631"
"-","Australia","-31.9505","115.8605","9","9","9","9","9","9","9","9","9","-31.9505,115.8605"
"-","Austria","47.5162","14.5501","746","747","747","748","750","754","756","757","757","47.5162,14.5501"
"-","Azerbaijan","40.1431","47.5769","551","552","555","556","557","559","562","564","564","40.1431,47.5769"
"-","Bahamas","25.025885","-78.035889","58","59","63","63","65","67","67","68","68","25.025885,-78.035889"
"-","Bahrain","26.0275","50.55","200","202","203","207","208","211","212","213","213","26.0275,50.55"
"-","Bangladesh","23.685","90.3563","4516","4552","4593","4634","4668","4702","4733","4759","4759","23.685,90.3563"
"-","Barbados","13.1939","-59.5432","7","7","7","7","7","7","7","7","7","13.1939,-59.5432"
"-","Belarus","53.7098","27.9534","716","721","726","732","738","744","750","756","756","53.7098,27.9534"
"-","Belgium","50.8333","4.469936","9909","9912","9917","9917","9919","9923","9925","9927","9927","50.8333,4.469936"
"-","Belize","17.1899","-88.4976","16","16","18","18","19","19","19","19","19","17.1899,-88.4976"
"-","Benin","9.3077","2.3158","40","40","40","40","40","40","40","40","40","9.3077,2.3158"
"-","Bhutan","27.5142","90.4336","0","0","0","0","0","0","0","0","0","27.5142,90.4336"
"-","Bolivia","-16.2902","-63.5887","7054","7097","7146","7193","7250","7297","7344","7394","7394","-16.2902,-63.5887"
"-","Bosnia and Herzegovina","43.9159","17.6791","664","669","675","680","686","690","696","705","705","43.9159,17.6791"
"-","Botswana","-22.3285","24.6849","9","9","9","10","10","10","10","11","11","-22.3285,24.6849"
"-","Brazil","-14.235","-51.9253","126960","127464","128539","129522","130396","131210","131625","132006","132006","-14.235,-51.9253"
"-","Brunei","4.5353","114.7277","3","3","3","3","3","3","3","3","3","4.5353,114.7277"
"-","Bulgaria","42.7339","25.4858","677","692","702","706","713","717","720","729","729","42.7339,25.4858"
"-","Burkina Faso","12.2383","-1.5616","56","56","56","56","56","56","56","56","56","12.2383,-1.5616"
"-","Burma","21.9162","95.956","8","12","14","14","14","16","24","32","32","21.9162,95.956"
"-","Burundi","-3.3731","29.9189","1","1","1","1","1","1","1","1","1","-3.3731,29.9189"
"-","Cabo Verde","16.5388","-23.0418","42","42","43","43","44","44","44","45","45","16.5388,-23.0418"
"-","Cambodia","11.55","104.9167","0","0","0","0","0","0","0","0","0","11.55,104.9167"
"-","Cameroon","3.8480000000000003","11.5021","415","415","415","415","415","415","415","415","415","3.8480000000000003,11.5021"
"-","Canada","53.9333","-116.5765","242","247","247","253","253","253","253","254","254","53.9333,-116.5765"
"-","Canada","53.7267","-127.6476","211","213","213","213","213","213","213","219","219","53.7267,-127.6476"
"-","Canada","0.0","0.0","1","1","1","1","1","1","1","1","1","0.0,0.0"
"-","Canada","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0,0.0"
"-","Canada","53.7609","-98.8139","16","16","16","16","16","16","16","16","16","53.7609,-98.8139"
"-","Canada","46.5653","-66.4619","2","2","2","2","2","2","2","2","2","46.5653,-66.4619"
"-","Canada","53.1355","-57.6604","3","3","3","3","3","3","3","3","3","53.1355,-57.6604"
"-","Canada","64.8255","-124.8457","0","0","0","0","0","0","0","0","0","64.8255,-124.8457"
"-","Canada","44.681999999999995","-63.7443","65","65","65","65","65","65","65","65","65","44.681999999999995,-63.7443"
"-","Canada","51.2538","-85.3232","2862","2862","2862","2863","2863","2863","2863","2865","2865","51.2538,-85.3232"
"-","Canada","46.5107","-63.4168","0","0","0","0","0","0","0","0","0","46.5107,-63.4168"
"-","Canada","52.9399","-73.5491","5770","5770","5771","5773","5774","5780","5780","5780","5780","52.9399,-73.5491"
"-","Canada","52.9399","-106.4509","24","24","24","24","24","24","24","24","24","52.9399,-106.4509"
"-","Canada","64.2823","-135.0","0","0","0","0","0","0","0","0","0","64.2823,-135.0"
