"Province/State","Country/Region","Lat","Long","Recent Data","Location"
"-","Afghanistan","33.93911","67.709953","32505","33.93911,67.709953"
"-","Albania","41.1533","20.1683","6788","41.1533,20.1683"
"-","Algeria","28.0339","1.6596","34675","28.0339,1.6596"
"-","Andorra","42.5063","1.5218","1054","42.5063,1.5218"
"-","Angola","-11.2027","17.8739","1405","-11.2027,17.8739"
"-","Antigua and Barbuda","17.0608","-61.7964","91","17.0608,-61.7964"
"-","Argentina","-38.4161","-63.6167","456347","-38.4161,-63.6167"
"-","Armenia","40.0691","45.0382","42231","40.0691,45.0382"
"-","Australia","-35.4735","149.0124","110","-35.4735,149.0124"
"-","Australia","-33.8688","151.2093","2994","-33.8688,151.2093"
"-","Australia","-12.4634","130.8456","31","-12.4634,130.8456"
"-","Australia","-27.4698","153.0251","1112","-27.4698,153.0251"
"-","Australia","-34.9285","138.6007","462","-34.9285,138.6007"
"-","Australia","-42.8821","147.3272","217","-42.8821,147.3272"
"-","Australia","-37.8136","144.9631","18278","-37.8136,144.9631"
"-","Australia","-31.9505","115.8605","648","-31.9505,115.8605"
"-","Austria","47.5162","14.5501","28044","47.5162,14.5501"
"-","Azerbaijan","40.1431","47.5769","36289","40.1431,47.5769"
"-","Bahamas","25.025885","-78.035889","1626","25.025885,-78.035889"
"-","Bahrain","26.0275","50.55","56087","26.0275,50.55"
"-","Bangladesh","23.685","90.3563","250412","23.685,90.3563"
"-","Barbados","13.1939","-59.5432","171","13.1939,-59.5432"
"-","Belarus","53.7098","27.9534","72967","53.7098,27.9534"
"-","Belgium","50.8333","4.469936","18854","50.8333,4.469936"
"-","Belize","17.1899","-88.4976","742","17.1899,-88.4976"
"-","Benin","9.3077","2.3158","1950","9.3077,2.3158"
"-","Bhutan","27.5142","90.4336","175","27.5142,90.4336"
"-","Bolivia","-16.2902","-63.5887","87716","-16.2902,-63.5887"
"-","Bosnia and Herzegovina","43.9159","17.6791","17219","43.9159,17.6791"
"-","Botswana","-22.3285","24.6849","624","-22.3285,24.6849"
"-","Brazil","-14.235","-51.9253","3873934","-14.235,-51.9253"
"-","Brunei","4.5353","114.7277","141","4.5353,114.7277"
"-","Bulgaria","42.7339","25.4858","13391","42.7339,25.4858"
"-","Burkina Faso","12.2383","-1.5616","1166","12.2383,-1.5616"
"-","Burma","21.9162","95.956","944","21.9162,95.956"
"-","Burundi","-3.3731","29.9189","374","-3.3731,29.9189"
"-","Cabo Verde","16.5388","-23.0418","4465","16.5388,-23.0418"
"-","Cambodia","11.55","104.9167","274","11.55,104.9167"
"-","Cameroon","3.848","11.5021","18837","3.848,11.5021"
"-","Canada","56.1304","-106.3468","124984","56.1304,-106.3468"
"-","Central African Republic","6.6111","20.9394","1830","6.6111,20.9394"
"-","Chad","15.4542","18.7322","962","15.4542,18.7322"
"-","Chile","-35.6751","-71.543","413928","-35.6751,-71.543"
"-","China","31.8257","117.2264","985","31.8257,117.2264"
"-","China","40.1824","116.4142","926","40.1824,116.4142"
"-","China","30.0572","107.874","577","30.0572,107.874"
"-","China","26.0789","117.9874","379","26.0789,117.9874"
"-","China","35.7518","104.2861","168","35.7518,104.2861"
"-","China","23.3417","113.4244","1764","23.3417,113.4244"
"-","China","23.8298","108.7881","253","23.8298,108.7881"
"-","China","26.8154","106.8748","145","26.8154,106.8748"
"-","China","19.1959","109.7453","165","19.1959,109.7453"
"-","China","37.8957","114.9042","356","37.8957,114.9042"
"-","China","47.862","127.7615","935","47.862,127.7615"
"-","China","33.882","113.614","1254","33.882,113.614"
"-","China","22.3","114.2","4682","22.3,114.2"
"-","China","30.9756","112.2707","63627","30.9756,112.2707"
"-","China","27.6104","111.7088","1015","27.6104,111.7088"
"-","China","44.0935","113.9448","259","44.0935,113.9448"
"-","China","32.9711","119.455","663","32.9711,119.455"
"-","China","27.614","115.7221","934","27.614,115.7221"
"-","China","43.6661","126.1923","155","43.6661,126.1923"
"-","China","41.2956","122.6085","262","41.2956,122.6085"
"-","China","22.1667","113.55","46","22.1667,113.55"
"-","China","37.2692","106.1655","75","37.2692,106.1655"
"-","China","35.7452","95.9956","18","35.7452,95.9956"
"-","China","35.1917","108.8701","371","35.1917,108.8701"
"-","China","36.3427","118.1498","813","36.3427,118.1498"
"-","China","31.202","121.4491","909","31.202,121.4491"
"-","China","37.5777","112.2922","202","37.5777,112.2922"
"-","China","30.6171","102.7103","651","30.6171,102.7103"
"-","China","39.3054","117.323","225","39.3054,117.323"
"-","China","31.6927","88.0924","1","31.6927,88.0924"
"-","China","41.1129","85.2401","899","41.1129,85.2401"
"-","China","24.974","101.487","195","24.974,101.487"
"-","China","29.1832","120.0934","1272","29.1832,120.0934"
"-","Colombia","4.5709","-74.2973","615457","4.5709,-74.2973"
"-","Comoros","-11.6455","43.3333","449","-11.6455,43.3333"
"-","Congo (Brazzaville)","-0.228","15.8277","3887","-0.228,15.8277"
"-","Congo (Kinshasa)","-4.0383","21.7587","9840","-4.0383,21.7587"
"-","Costa Rica","9.7489","-83.7534","22662","9.7489,-83.7534"
"-","Cote d'Ivoire","7.54","-5.5471","18330","7.54,-5.5471"
"-","Croatia","45.1","15.2","11933","45.1,15.2"
"-","Cuba","21.521757","-77.78116700000002","4230","21.521757,-77.78116700000002"
"-","Cyprus","35.1264","33.4299","1282","35.1264,33.4299"
"-","Czechia","49.8175","15.473","23377","49.8175,15.473"
"-","Denmark","61.8926","-6.9118","412","61.8926,-6.9118"
"-","Denmark","71.7069","-42.6043","14","71.7069,-42.6043"
"-","Denmark","56.2639","9.5018","16918","56.2639,9.5018"
"-","Diamond Princess","0.0","0.0","651","0.0,0.0"
"-","Djibouti","11.8251","42.5903","5333","11.8251,42.5903"
"-","Dominica","15.415","-61.371","18","15.415,-61.371"
"-","Dominican Republic","18.7357","-70.1627","79363","18.7357,-70.1627"
"-","Ecuador","-1.8312","-78.1834","97063","-1.8312,-78.1834"
"-","Egypt","26.820553000000004","30.802498","87158","26.820553000000004,30.802498"
"-","El Salvador","13.7942","-88.8965","20392","13.7942,-88.8965"
"-","Equatorial Guinea","1.6508","10.2679","4509","1.6508,10.2679"
"-","Eritrea","15.1794","39.7823","305","15.1794,39.7823"
"-","Estonia","58.5953","25.0136","2337","58.5953,25.0136"
"-","Eswatini","-26.5225","31.4659","4439","-26.5225,31.4659"
"-","Ethiopia","9.145","40.4897","27085","9.145,40.4897"
"-","Fiji","-17.7134","178.065","26","-17.7134,178.065"
"-","Finland","61.92411","25.748151","7700","61.92411,25.748151"
"-","France","3.9339","-53.1258","9267","3.9339,-53.1258"
"-","France","-17.6797","149.4068","672","-17.6797,149.4068"
"-","France","16.265","-61.551","837","16.265,-61.551"
"-","France","14.6415","-61.0242","98","14.6415,-61.0242"
"-","France","-12.8275","45.166244","2964","-12.8275,45.166244"
"-","France","-20.904305","165.618042","26","-20.904305,165.618042"
"-","France","-21.1151","55.5364","1794","-21.1151,55.5364"
"-","France","17.9","-62.8333","16","17.9,-62.8333"
"-","France","46.8852","-56.3159","5","46.8852,-56.3159"
"-","France","18.0708","-63.0501","206","18.0708,-63.0501"
"-","France","46.2276","2.2137","75880","46.2276,2.2137"
"-","Gabon","-0.8037","11.6094","7827","-0.8037,11.6094"
"-","Gambia","13.4432","-15.3101","1951","13.4432,-15.3101"
"-","Georgia","42.3154","43.3569","1422","42.3154,43.3569"
"-","Germany","51.165691","10.451526","238437","51.165691,10.451526"
"-","Ghana","7.9465","-1.0232","44896","7.9465,-1.0232"
